instance_name,subpart_name,color_name,r,g,b,a,source_path,notes
input_demo_tube_08_red75,curved_barcode_stripe_5,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/red_cap_tube_13x75_v2.step,"input rack row 3, col 2; v5 input rack origin"
input_demo_tube_08_red75,curved_barcode_stripe_6,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/red_cap_tube_13x75_v2.step,"input rack row 3, col 2; v5 input rack origin"
input_demo_tube_08_red75,curved_barcode_stripe_7,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/red_cap_tube_13x75_v2.step,"input rack row 3, col 2; v5 input rack origin"
input_demo_tube_08_red75,curved_barcode_stripe_8,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/red_cap_tube_13x75_v2.step,"input rack row 3, col 2; v5 input rack origin"
input_demo_tube_08_red75,curved_barcode_stripe_9,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/red_cap_tube_13x75_v2.step,"input rack row 3, col 2; v5 input rack origin"
input_demo_tube_09_yellow100,tube_body_13mm_od,light_gray_body,0.78,0.84,0.88,0.55,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,"input rack row 3, col 4; v5 input rack origin"
input_demo_tube_09_yellow100,tube_cap,yellow_cap,1.0,0.82,0.05,1.0,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,"input rack row 3, col 4; v5 input rack origin"
input_demo_tube_09_yellow100,curved_white_label_220deg,white_label,1.0,1.0,1.0,1.0,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,"input rack row 3, col 4; v5 input rack origin"
input_demo_tube_09_yellow100,curved_barcode_stripe_1,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,"input rack row 3, col 4; v5 input rack origin"
input_demo_tube_09_yellow100,curved_barcode_stripe_2,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,"input rack row 3, col 4; v5 input rack origin"
input_demo_tube_09_yellow100,curved_barcode_stripe_3,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,"input rack row 3, col 4; v5 input rack origin"
input_demo_tube_09_yellow100,curved_barcode_stripe_4,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,"input rack row 3, col 4; v5 input rack origin"
input_demo_tube_09_yellow100,curved_barcode_stripe_5,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,"input rack row 3, col 4; v5 input rack origin"
input_demo_tube_09_yellow100,curved_barcode_stripe_6,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,"input rack row 3, col 4; v5 input rack origin"
input_demo_tube_09_yellow100,curved_barcode_stripe_7,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,"input rack row 3, col 4; v5 input rack origin"
input_demo_tube_09_yellow100,curved_barcode_stripe_8,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,"input rack row 3, col 4; v5 input rack origin"
input_demo_tube_09_yellow100,curved_barcode_stripe_9,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,"input rack row 3, col 4; v5 input rack origin"
input_demo_tube_10_purple75,tube_body_13mm_od,light_gray_body,0.78,0.84,0.88,0.55,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,"input rack row 3, col 6; v5 input rack origin"
input_demo_tube_10_purple75,tube_cap,purple_cap,0.45,0.16,0.75,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,"input rack row 3, col 6; v5 input rack origin"
input_demo_tube_10_purple75,curved_white_label_220deg,white_label,1.0,1.0,1.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,"input rack row 3, col 6; v5 input rack origin"
input_demo_tube_10_purple75,curved_barcode_stripe_1,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,"input rack row 3, col 6; v5 input rack origin"
input_demo_tube_10_purple75,curved_barcode_stripe_2,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,"input rack row 3, col 6; v5 input rack origin"
input_demo_tube_10_purple75,curved_barcode_stripe_3,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,"input rack row 3, col 6; v5 input rack origin"
input_demo_tube_10_purple75,curved_barcode_stripe_4,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,"input rack row 3, col 6; v5 input rack origin"
input_demo_tube_10_purple75,curved_barcode_stripe_5,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,"input rack row 3, col 6; v5 input rack origin"
input_demo_tube_10_purple75,curved_barcode_stripe_6,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,"input rack row 3, col 6; v5 input rack origin"
input_demo_tube_10_purple75,curved_barcode_stripe_7,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,"input rack row 3, col 6; v5 input rack origin"
