zone,box_id,rack_name,slot_id,x_mm,y_mm,z_insert_mm,z_pick_75mm,z_pick_100mm,within_x_range,within_y_range,within_z_range_75mm,within_z_range_100mm,reachability_status,near_limit,notes
output_A,category_A_output_box,category_A_output_box_4x6,D3,146.000,128.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_A,category_A_output_box,category_A_output_box_4x6,D4,174.000,128.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_A,category_A_output_box,category_A_output_box_4x6,D5,202.000,128.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_A,category_A_output_box,category_A_output_box_4x6,D6,230.000,128.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,A1,300.000,212.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,A2,328.000,212.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,A3,356.000,212.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,A4,384.000,212.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,A5,412.000,212.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,A6,440.000,212.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,B1,300.000,184.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,B2,328.000,184.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,B3,356.000,184.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,B4,384.000,184.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,B5,412.000,184.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,B6,440.000,184.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,C1,300.000,156.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,C2,328.000,156.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,C3,356.000,156.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,C4,384.000,156.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,C5,412.000,156.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,C6,440.000,156.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,D1,300.000,128.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,D2,328.000,128.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,D3,356.000,128.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,D4,384.000,128.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,D5,412.000,128.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_B,category_B_output_box,category_B_output_box_4x6,D6,440.000,128.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_C,category_C_output_box,category_C_output_box_4x6,A1,90.000,2.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
