scenario_id,task_id,tube_id,state_machine_final_status,trajectory_status,sample_category,target_type,target_box_id,robot_active_time_s,operator_wait_time_s,total_elapsed_time_s,xy_motion_time_s,z_motion_time_s,scan_time_s,gripper_time_s,settle_time_s,retry_time_s,segment_count,waypoint_count,cycle_time_status,notes
forced_category_A_full,TASK-7B1-046,TUBE-7B1-046,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.867,0.0,8.867,3.017,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-047,TUBE-7B1-047,completed_output,generated_with_warning,category_C,output_box,output_box_C,8.071,0.0,8.071,2.221,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-048,TUBE-7B1-048,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.361,0.0,8.361,2.511,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-050,TUBE-7B1-050,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.965,0.0,8.965,3.115,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-051,TUBE-7B1-051,completed_output,generated_with_warning,category_C,output_box,output_box_C,8.318,0.0,8.318,2.468,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-052,TUBE-7B1-052,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.612,0.0,8.612,2.762,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-054,TUBE-7B1-054,completed_output,generated_with_warning,category_B,output_box,output_box_B,7.604,0.0,7.604,1.754,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-055,TUBE-7B1-055,completed_output,generated_with_warning,category_C,output_box,output_box_C,7.238,0.0,7.238,1.388,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-056,TUBE-7B1-056,completed_output,generated_with_warning,category_D,output_box,output_box_D,7.793,0.0,7.793,1.943,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-058,TUBE-7B1-058,completed_output,generated_with_warning,category_B,output_box,output_box_B,7.624,0.0,7.624,1.774,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-059,TUBE-7B1-059,completed_manual_review,generated_with_warning,unknown,manual_review,manual_review_01,7.939,0.0,7.939,2.089,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-060,TUBE-7B1-060,completed_output,generated_with_warning,category_C,output_box,output_box_C,7.284,0.0,7.284,1.434,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-061,TUBE-7B1-061,completed_output,generated_with_warning,category_D,output_box,output_box_D,7.858,0.0,7.858,2.008,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-063,TUBE-7B1-063,completed_output,generated_with_warning,category_B,output_box,output_box_B,7.789,0.0,7.789,1.939,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-064,TUBE-7B1-064,completed_output,generated_with_warning,category_C,output_box,output_box_C,7.407,0.0,7.407,1.557,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-065,TUBE-7B1-065,completed_output,generated_with_warning,category_D,output_box,output_box_D,7.954,0.0,7.954,2.104,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-067,TUBE-7B1-067,completed_output,generated_with_warning,category_B,output_box,output_box_B,7.994,0.0,7.994,2.144,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-068,TUBE-7B1-068,completed_output,generated_with_warning,category_C,output_box,output_box_C,7.514,0.0,7.514,1.664,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-069,TUBE-7B1-069,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.003,0.0,8.003,2.153,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-001,TUBE-7B1-001,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.913,0.0,8.913,3.063,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-006,TUBE-7B1-006,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.882,0.0,8.882,3.032,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-010,TUBE-7B1-010,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.863,0.0,8.863,3.013,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-015,TUBE-7B1-015,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.856,0.0,8.856,3.006,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-019,TUBE-7B1-019,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.501,0.0,8.501,2.651,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-023,TUBE-7B1-023,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.571,0.0,8.571,2.721,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-027,TUBE-7B1-027,completed_output,generated_with_warning,category_A,output_box,output_box_A,7.966,0.0,7.966,2.116,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-032,TUBE-7B1-032,completed_output,generated_with_warning,category_A,output_box,output_box_A,7.894,0.0,7.894,2.044,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-036,TUBE-7B1-036,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.494,0.0,8.494,2.644,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-040,TUBE-7B1-040,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.691,0.0,8.691,2.841,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-045,TUBE-7B1-045,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.621,0.0,8.621,2.771,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-049,TUBE-7B1-049,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.849,0.0,8.849,2.999,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-053,TUBE-7B1-053,completed_output,generated_with_warning,category_A,output_box,output_box_A,7.338,0.0,7.338,1.488,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-057,TUBE-7B1-057,completed_output,generated_with_warning,category_A,output_box,output_box_A,7.508,0.0,7.508,1.658,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-062,TUBE-7B1-062,completed_output,generated_with_warning,category_A,output_box,output_box_A,7.486,0.0,7.486,1.636,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
forced_category_A_full,TASK-7B1-066,TUBE-7B1-066,completed_output,generated_with_warning,category_A,output_box,output_box_A,7.748,0.0,7.748,1.898,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-001,TUBE-7B1-001,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.913,0.0,8.913,3.063,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-002,TUBE-7B1-002,completed_output,generated_with_warning,category_B,output_box,output_box_B,9.141,0.0,9.141,3.291,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-003,TUBE-7B1-003,completed_output,generated_with_warning,category_C,output_box,output_box_C,8.461,0.0,8.461,2.611,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-004,TUBE-7B1-004,completed_manual_review,generated_with_warning,unknown,manual_review,manual_review_01,9.157,0.0,9.157,3.307,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-005,TUBE-7B1-005,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.614,0.0,8.614,2.764,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-006,TUBE-7B1-006,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.882,0.0,8.882,3.032,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-007,TUBE-7B1-007,completed_output,generated_with_warning,category_B,output_box,output_box_B,9.002,0.0,9.002,3.152,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-008,TUBE-7B1-008,completed_output,generated_with_warning,category_C,output_box,output_box_C,8.331,0.0,8.331,2.481,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-009,TUBE-7B1-009,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.659,0.0,8.659,2.809,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-010,TUBE-7B1-010,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.863,0.0,8.863,3.013,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-011,TUBE-7B1-011,completed_output,generated_with_warning,category_B,output_box,output_box_B,9.1,0.0,9.1,3.25,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-012,TUBE-7B1-012,completed_output,generated_with_warning,category_C,output_box,output_box_C,8.424,0.0,8.424,2.574,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-013,TUBE-7B1-013,completed_manual_review,generated_with_warning,unknown,manual_review,manual_review_01,8.886,0.0,8.886,3.036,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-014,TUBE-7B1-014,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.529,0.0,8.529,2.679,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-015,TUBE-7B1-015,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.856,0.0,8.856,3.006,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-016,TUBE-7B1-016,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.97,0.0,8.97,3.12,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-017,TUBE-7B1-017,completed_output,generated_with_warning,category_C,output_box,output_box_C,8.298,0.0,8.298,2.448,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-018,TUBE-7B1-018,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.608,0.0,8.608,2.758,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-019,TUBE-7B1-019,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.501,0.0,8.501,2.651,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-020,TUBE-7B1-020,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.841,0.0,8.841,2.991,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-021,TUBE-7B1-021,completed_output,generated_with_warning,category_C,output_box,output_box_C,8.282,0.0,8.282,2.432,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-022,TUBE-7B1-022,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.733,0.0,8.733,2.883,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-023,TUBE-7B1-023,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.571,0.0,8.571,2.721,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-024,TUBE-7B1-024,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.746,0.0,8.746,2.896,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-025,TUBE-7B1-025,completed_output,generated_with_warning,category_C,output_box,output_box_C,8.211,0.0,8.211,2.361,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-026,TUBE-7B1-026,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.665,0.0,8.665,2.815,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-027,TUBE-7B1-027,completed_output,generated_with_warning,category_A,output_box,output_box_A,7.966,0.0,7.966,2.116,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-028,TUBE-7B1-028,completed_manual_review,generated_with_warning,category_B,manual_review,manual_review_01,8.503,0.0,8.503,2.653,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-029,TUBE-7B1-029,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.249,0.0,8.249,2.399,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-030,TUBE-7B1-030,completed_output,generated_with_warning,category_C,output_box,output_box_C,7.743,0.0,7.743,1.893,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-031,TUBE-7B1-031,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.225,0.0,8.225,2.375,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-032,TUBE-7B1-032,completed_output,generated_with_warning,category_A,output_box,output_box_A,7.894,0.0,7.894,2.044,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-033,TUBE-7B1-033,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.171,0.0,8.171,2.321,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-034,TUBE-7B1-034,completed_output,generated_with_warning,category_C,output_box,output_box_C,7.643,0.0,7.643,1.793,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-035,TUBE-7B1-035,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.842,0.0,8.842,2.992,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-036,TUBE-7B1-036,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.494,0.0,8.494,2.644,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-037,TUBE-7B1-037,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.728,0.0,8.728,2.878,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-038,TUBE-7B1-038,completed_output,generated_with_warning,category_C,output_box,output_box_C,7.919,0.0,7.919,2.069,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-039,TUBE-7B1-039,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.207,0.0,8.207,2.357,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-040,TUBE-7B1-040,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.691,0.0,8.691,2.841,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-041,TUBE-7B1-041,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.787,0.0,8.787,2.937,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-042,TUBE-7B1-042,completed_output,generated_with_warning,category_C,output_box,output_box_C,8.125,0.0,8.125,2.275,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-043,TUBE-7B1-043,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.41,0.0,8.41,2.56,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-044,TUBE-7B1-044,paused_manual_review_full,not_generated_manual_review_full_pause,unknown,manual_review,manual_review_01,0.0,10.0,10.0,0,0,0,0,0.0,0.0,0,0,not_generated_pause,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-045,TUBE-7B1-045,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.621,0.0,8.621,2.771,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-046,TUBE-7B1-046,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.867,0.0,8.867,3.017,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-047,TUBE-7B1-047,completed_output,generated_with_warning,category_C,output_box,output_box_C,8.071,0.0,8.071,2.221,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-048,TUBE-7B1-048,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.361,0.0,8.361,2.511,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-049,TUBE-7B1-049,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.849,0.0,8.849,2.999,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-050,TUBE-7B1-050,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.965,0.0,8.965,3.115,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-051,TUBE-7B1-051,completed_output,generated_with_warning,category_C,output_box,output_box_C,8.318,0.0,8.318,2.468,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-052,TUBE-7B1-052,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.612,0.0,8.612,2.762,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-053,TUBE-7B1-053,completed_output,generated_with_warning,category_A,output_box,output_box_A,7.338,0.0,7.338,1.488,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-054,TUBE-7B1-054,completed_output,generated_with_warning,category_B,output_box,output_box_B,7.604,0.0,7.604,1.754,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-055,TUBE-7B1-055,completed_output,generated_with_warning,category_C,output_box,output_box_C,7.238,0.0,7.238,1.388,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-056,TUBE-7B1-056,completed_output,generated_with_warning,category_D,output_box,output_box_D,7.793,0.0,7.793,1.943,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-057,TUBE-7B1-057,completed_output,generated_with_warning,category_A,output_box,output_box_A,7.508,0.0,7.508,1.658,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-058,TUBE-7B1-058,completed_output,generated_with_warning,category_B,output_box,output_box_B,7.624,0.0,7.624,1.774,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-059,TUBE-7B1-059,paused_manual_review_full,not_generated_manual_review_full_pause,unknown,manual_review,manual_review_01,0.0,10.0,10.0,0,0,0,0,0.0,0.0,0,0,not_generated_pause,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-060,TUBE-7B1-060,completed_output,generated_with_warning,category_C,output_box,output_box_C,7.284,0.0,7.284,1.434,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-061,TUBE-7B1-061,completed_output,generated_with_warning,category_D,output_box,output_box_D,7.858,0.0,7.858,2.008,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-062,TUBE-7B1-062,completed_output,generated_with_warning,category_A,output_box,output_box_A,7.486,0.0,7.486,1.636,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-063,TUBE-7B1-063,completed_output,generated_with_warning,category_B,output_box,output_box_B,7.789,0.0,7.789,1.939,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-064,TUBE-7B1-064,completed_output,generated_with_warning,category_C,output_box,output_box_C,7.407,0.0,7.407,1.557,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-065,TUBE-7B1-065,completed_output,generated_with_warning,category_D,output_box,output_box_D,7.954,0.0,7.954,2.104,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-066,TUBE-7B1-066,completed_output,generated_with_warning,category_A,output_box,output_box_A,7.748,0.0,7.748,1.898,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-067,TUBE-7B1-067,completed_output,generated_with_warning,category_B,output_box,output_box_B,7.994,0.0,7.994,2.144,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
manual_review_limited_capacity,TASK-7B1-068,TUBE-7B1-068,completed_output,generated_with_warning,category_C,output_box,output_box_C,7.514,0.0,7.514,1.664,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
